108,54,0.666666667,RedSox
100,62,0.617283951,Yankees
190,72,0.555555556,Rays
73,89,0.450617284,BlueJays
47,115,0.290123457,Orioles
91,71,0.561728395,Indians
78,84,0.481481481,Twins
64,98,0.395061728,Tigers
162,100,0.382716049,White Sox
103,59,0.635802469,Astros
89,73,0.549382716,Mariners
80,82,0.49382716,Angels
62,100,0.382716049,Royals
108,54,0.666666667,RedSox
100,62,0.617283951,Yankees
190,72,0.555555556,Rays
73,89,0.450617284,BlueJays
47,115,0.290123457,Orioles
91,71,0.561728395,Indians
78,84,0.481481481,Twins
64,98,0.395061728,Tigers
162,100,0.382716049,White Sox
103,59,0.635802469,Astros
89,73,0.549382716,Mariners
80,82,0.49382716,Angels
62,100,0.382716049,Royals
108,54,0.666666667,RedSox
100,62,0.617283951,Yankees
190,72,0.555555556,Rays
73,89,0.450617284,BlueJays
47,115,0.290123457,Orioles
91,71,0.561728395,Indians
78,84,0.481481481,Twins
64,98,0.395061728,Tigers
162,100,0.382716049,White Sox
103,59,0.635802469,Astros
89,73,0.549382716,Mariners
80,82,0.49382716,Angels
62,100,0.382716049,Royals
108,54,0.666666667,RedSox
100,62,0.617283951,Yankees
190,72,0.555555556,Rays
73,89,0.450617284,BlueJays
47,115,0.290123457,Orioles
91,71,0.561728395,Indians
78,84,0.481481481,Twins
64,98,0.395061728,Tigers
162,100,0.382716049,White Sox
103,59,0.635802469,Astros
89,73,0.549382716,Mariners
80,82,0.49382716,Angels
62,100,0.382716049,Royals
108,54,0.666666667,RedSox
100,62,0.617283951,Yankees
190,72,0.555555556,Rays
73,89,0.450617284,BlueJays
47,115,0.290123457,Orioles
91,71,0.561728395,Indians
78,84,0.481481481,Twins
64,98,0.395061728,Tigers
162,100,0.382716049,White Sox
103,59,0.635802469,Astros
89,73,0.549382716,Mariners
80,82,0.49382716,Angels
62,100,0.382716049,Royals



